,income,credit_score,loan_amount,years_employed,points,loan_approved
98,57460,315,48346,9,30.0,False
99,117841,646,41845,25,65.0,True
100,64993,336,41465,4,25.0,False
101,121988,400,42533,6,45.0,False
102,119593,667,25565,27,70.0,True
103,114939,691,41613,15,75.0,True
104,39358,461,5840,28,35.0,False
105,109840,609,14055,24,70.0,True
106,113227,322,44137,25,50.0,False
107,52431,535,40784,22,35.0,False
108,100010,340,21246,28,55.0,False
109,125568,479,14159,8,50.0,False
110,62087,793,20342,21,75.0,True
111,51417,706,37524,23,60.0,True
112,90589,690,42847,23,65.0,True
113,79735,364,42641,29,40.0,False
114,65382,611,33284,7,45.0,False
115,113886,729,39491,9,70.0,True
116,120198,333,46238,23,50.0,False
117,103000,667,4968,25,75.0,True
118,58785,321,4314,21,50.0,False
119,119733,521,16269,21,55.0,False
120,72504,433,36403,16,35.0,False
121,140474,543,39591,20,50.0,False
122,130704,787,30378,23,90.0,True
123,131711,608,31018,1,55.0,False
124,37331,375,6294,20,35.0,False
125,60021,601,30734,32,50.0,False
126,137715,533,28119,21,55.0,False
127,34207,683,11003,30,55.0,False
128,135518,361,39434,35,50.0,False
129,71347,594,40348,19,50.0,False
130,82581,658,37455,23,55.0,False
131,65093,326,40911,17,35.0,False
132,38675,446,38114,25,25.0,False
133,57653,729,30730,21,60.0,True
134,149686,383,18832,28,55.0,False
135,104341,416,23621,27,55.0,False
136,144867,356,1503,13,60.0,True
137,124098,307,33596,27,50.0,False
138,71245,746,2228,29,85.0,True
139,57869,596,8548,25,60.0,True
140,115909,390,29620,6,45.0,False
141,95435,526,22827,10,50.0,False
142,81856,451,16484,6,45.0,False
143,145957,775,37944,37,85.0,True
144,149871,454,29820,4,45.0,False
145,114259,772,30616,2,75.0,True
146,90142,773,39032,35,75.0,True
147,48726,813,10886,3,65.0,True
148,64718,553,47374,28,35.0,False
149,48301,353,42345,21,25.0,False
150,62325,641,6341,37,60.0,True
151,127647,617,37629,24,65.0,True
152,103579,670,2194,23,85.0,True
153,100644,458,6057,18,60.0,True
154,64438,685,11109,10,70.0,True
155,127912,720,24874,15,80.0,True
156,106622,616,31737,12,65.0,True
157,86155,814,35567,26,80.0,True
158,147679,792,25327,35,90.0,True
159,106484,579,30446,32,50.0,False
160,82350,657,2747,26,70.0,True
161,77447,401,47838,21,40.0,False
162,58746,780,30399,39,70.0,True
163,48131,840,28738,7,60.0,True
164,96784,768,5116,7,85.0,True
165,94686,739,1102,39,80.0,True
166,41915,838,36656,32,65.0,True
167,129061,682,17623,1,65.0,True
168,36175,436,3905,22,35.0,False
169,142866,486,9837,4,50.0,False
170,44371,342,21682,19,25.0,False
171,50033,592,24394,3,40.0,False
172,112240,750,26339,21,90.0,True
173,50969,380,29220,38,35.0,False
174,133819,756,40493,27,85.0,True
175,119192,581,42908,3,55.0,False
176,85333,748,3280,8,85.0,True
177,108172,457,45503,28,45.0,False
178,38326,621,43569,17,40.0,False
179,80432,420,18155,16,50.0,False
180,80019,375,30625,11,45.0,False
181,108104,597,20657,10,70.0,True
182,91348,505,10101,15,50.0,False
183,99352,432,41104,5,35.0,False
184,62953,375,9213,20,45.0,False
185,102512,486,9456,27,60.0,True
186,142824,630,47486,14,65.0,True
187,31504,581,9203,40,45.0,False
188,119166,457,12219,39,55.0,False
189,124466,346,43038,36,50.0,False
190,45014,596,43068,19,40.0,False
191,119353,725,32735,29,75.0,True
192,145970,708,9569,23,85.0,True
193,100381,399,4316,18,60.0,True
194,128419,620,13440,10,70.0,True
195,64973,520,39230,22,35.0,False
196,130741,410,29241,8,50.0,False
197,114012,499,24758,35,55.0,False
198,74587,431,7336,25,50.0,False
199,44621,821,27305,32,65.0,True
200,68469,827,10160,20,85.0,True
201,86985,821,35887,31,80.0,True
202,50730,726,39253,19,60.0,True
203,89470,533,48277,3,30.0,False
204,30425,332,38523,7,20.0,False
205,124646,813,41073,30,90.0,True
206,144799,632,44399,30,65.0,True
207,124329,795,13600,15,90.0,True
208,64522,800,21777,30,80.0,True
209,95612,688,26856,22,70.0,True
210,129871,654,29991,16,70.0,True
211,53416,440,8158,39,45.0,False
212,96542,402,28086,21,45.0,False
213,149619,716,43787,30,75.0,True
214,43947,391,43749,36,25.0,False
215,144100,337,27017,31,55.0,False
216,111959,605,38221,38,65.0,True
217,69117,816,31672,17,75.0,True
218,140319,314,49274,21,50.0,False
219,113748,715,29029,32,75.0,True
220,96540,554,1447,16,55.0,False
221,109818,311,18141,23,55.0,False
222,56071,618,46238,7,45.0,False
223,50032,789,11039,29,80.0,True
224,79009,553,45586,38,40.0,False
225,129943,414,5047,35,60.0,True
226,51174,752,8617,13,80.0,True
227,100697,435,34636,26,50.0,False
228,132056,560,1197,13,60.0,True
229,99514,783,3079,18,90.0,True
230,30074,759,25739,24,60.0,True
231,108504,421,12696,34,55.0,False
232,72487,774,45138,34,70.0,True
233,94042,493,48515,7,35.0,False
234,32552,334,30257,38,25.0,False
235,44662,522,4699,8,30.0,False
236,77576,542,20776,9,40.0,False
237,145175,807,4072,22,100.0,True
238,139008,452,20653,24,55.0,False
239,135745,447,31344,3,45.0,False
240,70306,508,22644,5,35.0,False
241,61385,340,5769,12,50.0,False
242,37592,640,20869,0,25.0,False
243,61571,706,16684,35,65.0,True
244,145082,825,33589,29,95.0,True
245,104364,620,28127,2,55.0,False
246,40322,727,20345,9,45.0,False
247,41226,645,17864,31,40.0,False
248,125932,473,10172,34,60.0,True
249,93699,349,1418,26,55.0,False
250,136957,766,25458,3,80.0,True
251,39071,306,35879,35,25.0,False
252,129693,483,8013,6,55.0,False
253,99822,706,6178,23,80.0,True
254,130379,382,43843,2,40.0,False
255,46483,384,33758,27,25.0,False
256,46828,516,46369,36,25.0,False
257,116474,333,12754,20,55.0,False
258,92296,466,37959,15,40.0,False
259,102063,380,33819,22,50.0,False
260,51643,634,2941,40,65.0,True
261,64741,742,13172,37,80.0,True
262,99163,574,11107,24,50.0,False
263,144351,305,21202,28,55.0,False
264,109507,824,27741,6,85.0,True
265,85461,598,28119,24,60.0,True
266,57760,689,12108,8,65.0,True
267,100686,606,32734,4,55.0,False
268,128994,768,8010,8,90.0,True
269,125673,750,22937,27,90.0,True
270,120422,505,32392,20,50.0,False
271,56365,633,25645,17,50.0,False
272,123447,484,45676,35,50.0,False
273,70857,370,27813,31,40.0,False
274,82296,686,5847,28,80.0,True
275,118039,849,39916,40,90.0,True
276,115180,709,22731,27,80.0,True
277,78944,774,45535,37,75.0,True
278,87422,387,8606,9,50.0,False
279,147914,748,48316,28,85.0,True
280,97839,468,49528,15,40.0,False
281,89177,714,42271,11,65.0,True
282,45860,698,1291,13,65.0,True
283,62493,491,24972,20,40.0,False
284,59451,697,41062,25,60.0,True
285,38392,604,41270,37,40.0,False
286,74313,444,34477,24,35.0,False
287,32757,477,37366,10,25.0,False
288,107110,796,9947,12,95.0,True
289,102603,725,47539,28,70.0,True
290,60161,850,19918,10,80.0,True
291,107128,416,18556,34,55.0,False
292,58864,523,28862,6,30.0,False
293,30942,749,8693,15,65.0,True
294,39305,511,14562,3,20.0,False
295,122778,599,19961,36,70.0,True
296,112719,360,19174,8,50.0,False
297,37716,801,10317,36,70.0,True
298,60007,712,34791,17,60.0,True
299,38834,395,48902,29,25.0,False
300,148675,516,33421,17,55.0,False
301,34117,651,45731,3,30.0,False
302,142674,751,30918,0,75.0,True
303,73309,395,43899,23,35.0,False
304,39287,612,48578,14,40.0,False
305,97391,531,35042,28,45.0,False
306,61195,372,16004,24,40.0,False
307,66500,691,9725,9,65.0,True
308,117684,518,42161,9,45.0,False
309,93624,443,9071,37,55.0,False
310,58080,386,17263,35,40.0,False
311,100678,510,34931,38,50.0,False
312,47342,806,26289,7,60.0,True
313,124811,730,24947,34,80.0,True
314,145655,568,15138,2,45.0,False
315,104847,725,28759,25,75.0,True
316,105525,823,14316,9,90.0,True
317,91953,359,17022,5,45.0,False
318,61850,422,1830,8,45.0,False
319,132841,575,49033,7,45.0,False
320,91993,378,33515,29,45.0,False
321,135840,405,38611,7,45.0,False
322,83354,692,10835,11,75.0,True
323,54957,726,48204,20,60.0,True
324,42363,347,27275,4,15.0,False
325,42704,767,1522,23,75.0,True
326,116374,805,13807,34,95.0,True
327,86498,654,42677,0,40.0,False
328,76438,543,28513,31,45.0,False
329,85519,832,28070,23,85.0,True
330,83883,376,39790,36,40.0,False
331,91213,702,46922,20,65.0,True
332,143224,411,11184,6,55.0,False
333,125561,762,21205,29,90.0,True
334,37100,520,22482,9,20.0,False
335,118259,331,27502,28,55.0,False
336,115649,312,5041,14,60.0,True
337,114696,322,5225,12,60.0,True
338,42899,351,12009,36,30.0,False
339,37944,662,15071,11,45.0,False
340,82772,721,37089,30,65.0,True
341,125448,838,17328,40,95.0,True
342,74473,652,38070,32,50.0,False
343,134935,587,4839,30,75.0,True
344,142941,546,18467,34,55.0,False
345,44322,697,24252,11,50.0,False
346,62591,660,38201,36,50.0,False
347,55112,802,3487,5,85.0,True
348,54931,433,23331,11,35.0,False
349,100292,413,35491,23,50.0,False
350,88800,609,22142,8,60.0,True
351,48373,665,15630,37,45.0,False
352,85296,700,38190,2,55.0,False
353,54050,808,10217,21,85.0,True
354,66509,390,47462,40,35.0,False
355,90637,658,17820,6,60.0,True
356,62742,804,25819,22,75.0,True
357,144620,334,20327,1,40.0,False
358,39880,376,36851,5,20.0,False
359,88082,744,11295,3,75.0,True
360,135909,543,7285,3,50.0,False
361,142898,601,44386,40,65.0,True
362,142193,383,32035,7,50.0,False
363,102132,696,13116,23,80.0,True
364,42833,531,18600,36,25.0,False
365,36630,723,39648,14,50.0,False
366,115477,541,32212,19,50.0,False
367,100855,759,12329,10,90.0,True
368,139579,506,42105,9,45.0,False
369,31934,633,19101,33,40.0,False
370,42224,451,38132,37,25.0,False
371,128771,848,23535,26,95.0,True
372,141240,712,10427,39,85.0,True
373,60982,786,18601,23,75.0,True
374,51798,533,9807,19,45.0,False
375,83269,492,29948,13,45.0,False
376,93653,462,5300,19,55.0,False
377,93092,359,17350,2,40.0,False
378,58016,817,27014,40,75.0,True
379,143331,785,39461,35,85.0,True
380,82565,466,38503,13,40.0,False
381,148284,320,45708,0,35.0,False
382,37685,581,28774,24,40.0,False
383,51579,404,1481,32,50.0,False
384,79672,793,5183,21,90.0,True
385,30282,546,4720,38,35.0,False
386,81173,565,28431,25,45.0,False
387,64760,527,45978,34,35.0,False
388,132769,485,20253,6,50.0,False
389,132908,391,15565,22,55.0,False
390,89638,601,31393,7,55.0,False
391,67388,422,45610,24,35.0,False
392,85444,650,27816,36,60.0,True
393,121303,640,42355,11,65.0,True
394,125748,462,33084,5,45.0,False
395,132676,304,3472,34,60.0,True
396,102845,495,2174,0,45.0,False
397,116752,692,33986,37,75.0,True
398,124163,836,23140,27,95.0,True
399,93788,468,27436,1,30.0,False
400,50289,675,47603,2,50.0,False
401,54890,320,4161,7,45.0,False
402,68890,309,20733,26,40.0,False
403,58534,407,34527,39,35.0,False
404,37665,569,35284,12,25.0,False
405,105914,638,16368,0,55.0,False
406,126434,823,5918,6,95.0,True
407,101066,402,12449,2,45.0,False
408,37989,346,1633,8,35.0,False
409,128038,395,25420,21,55.0,False
410,71104,731,43522,10,60.0,True
411,37492,794,38286,28,60.0,True
412,36572,794,32989,7,55.0,False
413,106569,529,44898,21,45.0,False
414,92493,793,23659,24,80.0,True
415,95909,817,31755,31,85.0,True
416,141767,351,34222,14,55.0,False
417,99615,758,6768,31,90.0,True
418,50635,300,6956,38,45.0,False
419,37455,649,24812,3,30.0,False
420,96562,763,8472,6,85.0,True
421,40500,408,4000,10,40.0,False
422,141587,423,26748,13,55.0,False
423,54356,426,30524,29,35.0,False
424,38981,743,39346,30,60.0,True
425,107992,406,26389,38,55.0,False
426,38907,580,27074,21,40.0,False
427,118501,606,46973,35,65.0,True
428,142960,597,45997,22,65.0,True
429,60828,630,47553,7,45.0,False
430,82923,592,28681,0,45.0,False
431,45713,593,45786,16,40.0,False
432,146691,667,30661,6,65.0,True
433,104668,698,16571,32,80.0,True
434,62271,355,1849,16,50.0,False
435,105880,501,48507,12,45.0,False
436,107924,422,25720,2,45.0,False
437,35209,458,3617,9,30.0,False
438,111183,666,5776,20,75.0,True
439,40745,713,7025,22,60.0,True
440,84948,786,37787,0,60.0,True
441,116163,628,25993,7,65.0,True
442,106503,756,32903,2,75.0,True
443,104085,846,1480,40,100.0,True
444,98522,850,47054,27,80.0,True
445,71467,639,3482,5,60.0,True
446,64179,717,26430,28,60.0,True
447,56772,346,46933,4,25.0,False
448,117782,748,25996,25,90.0,True
449,123872,602,42552,9,60.0,True
450,71180,444,9076,2,35.0,False
451,61285,516,28043,32,35.0,False
452,64814,355,36969,29,35.0,False
453,81876,798,22682,22,80.0,True
454,47154,636,41392,19,40.0,False
455,118039,304,21526,15,55.0,False
456,114607,639,32454,29,65.0,True
457,69321,587,10175,34,60.0,True
458,89929,714,39668,13,65.0,True
459,71441,674,26722,14,65.0,True
460,128548,392,27003,23,55.0,False
461,39508,756,11434,11,65.0,True
462,31220,667,3648,14,50.0,False
463,90068,830,24674,24,85.0,True
464,111416,580,49621,16,60.0,True
465,103792,829,17487,24,95.0,True
466,43104,306,33888,8,20.0,False
467,39602,461,24738,38,25.0,False
468,100468,790,32393,13,85.0,True
469,57938,464,9829,40,45.0,False
470,96307,829,27571,38,85.0,True
471,64760,759,40749,30,70.0,True
472,47361,486,41842,32,25.0,False
473,75745,535,25786,24,45.0,False
474,145456,481,32186,39,55.0,False
475,39016,301,45470,27,25.0,False
476,145247,690,23971,37,80.0,True
477,62018,538,6493,18,45.0,False
478,78434,835,8722,33,90.0,True
479,67353,458,28923,37,35.0,False
480,50676,508,28081,35,35.0,False
481,87433,652,47235,25,55.0,False
482,139280,465,7571,13,60.0,True
483,101200,393,10524,30,55.0,False
484,122214,833,19774,38,95.0,True
485,69651,830,19743,12,80.0,True
486,110173,336,24575,15,55.0,False
487,135788,704,27571,37,80.0,True
488,115717,656,23772,17,70.0,True
489,99329,479,27681,32,45.0,False
490,31025,850,38676,16,65.0,True
491,117538,769,45668,29,85.0,True
492,137099,535,21691,26,55.0,False
493,102692,708,45151,21,70.0,True
494,69240,575,12978,12,45.0,False
495,116951,664,11223,6,70.0,True
496,43577,343,32607,23,25.0,False
497,145097,586,27075,14,70.0,True
498,47601,333,33930,22,25.0,False
499,64664,308,1774,13,50.0,False
500,45129,542,18655,30,25.0,False
501,146616,673,27253,17,80.0,True
502,44029,576,16453,35,30.0,False
503,127310,480,28624,31,55.0,False
504,102512,556,37840,36,50.0,False
505,50374,398,30481,21,35.0,False
506,65697,424,24009,38,40.0,False
507,66930,632,45118,32,50.0,False
508,109276,471,42981,21,50.0,False
509,57607,621,21766,18,55.0,False
510,124058,833,30510,26,95.0,True
511,74942,381,14800,10,45.0,False
512,56685,706,35339,5,55.0,False
513,120111,590,30042,40,65.0,True
514,113130,787,31617,34,85.0,True
515,141792,745,35305,40,90.0,True
516,64600,615,24971,26,55.0,False
517,96244,847,1545,31,95.0,True
518,94032,307,36927,23,45.0,False
519,62914,699,25796,14,60.0,True
520,148664,575,28060,12,55.0,False
521,149034,803,13306,20,100.0,True
522,140900,428,47871,28,50.0,False
523,36658,619,33662,23,40.0,False
524,42097,701,5678,34,60.0,True
525,113136,554,26218,28,55.0,False
526,85518,784,26501,19,80.0,True
527,138704,503,24620,3,45.0,False
528,66265,582,39318,7,45.0,False
529,35778,680,6864,15,60.0,True
530,30464,849,8038,8,65.0,True
531,73719,497,2399,24,50.0,False
532,131072,601,36568,31,65.0,True
533,47146,464,5513,33,35.0,False
534,113507,688,49080,11,70.0,True
535,64335,696,13443,33,70.0,True
536,51178,413,7308,33,45.0,False
537,127154,409,32809,12,50.0,False
538,87912,562,4216,23,55.0,False
539,102309,381,31674,40,50.0,False
540,122493,572,35669,2,40.0,False
541,86057,536,35842,24,40.0,False
542,103519,725,49896,6,65.0,True
543,31267,484,37042,25,25.0,False
544,44663,632,25361,26,40.0,False
545,39862,684,37060,16,50.0,False
546,145750,316,34922,8,50.0,False
547,120573,823,37459,36,90.0,True
548,148479,675,39152,15,75.0,True
549,49536,379,48420,20,25.0,False
550,101511,690,6143,3,75.0,True
551,34722,532,49999,38,25.0,False
552,139392,453,22419,32,55.0,False
553,78393,816,6903,14,95.0,True
554,106350,350,36923,25,50.0,False
555,102420,502,32972,25,50.0,False
556,49410,740,22195,36,60.0,True
557,86333,324,20976,10,50.0,False
558,46704,539,14086,23,30.0,False
559,35482,594,1900,21,55.0,False
560,70404,516,14356,34,45.0,False
561,77795,318,25681,37,45.0,False
562,147831,354,31471,0,40.0,False
563,134349,599,43559,24,65.0,True
564,142814,390,13217,12,60.0,True
565,35229,612,22860,31,40.0,False
566,147823,541,33850,17,55.0,False
567,76898,455,23399,25,45.0,False
568,57535,456,28948,19,35.0,False
569,119399,507,10051,19,60.0,True
570,62706,461,21807,4,30.0,False
571,117416,330,21885,26,55.0,False
572,43473,409,9620,11,35.0,False
573,76357,326,24544,5,40.0,False
574,132251,488,26392,31,55.0,False
575,103385,576,28069,14,50.0,False
576,145885,801,46079,20,90.0,True
577,144650,620,26831,39,70.0,True
578,83264,343,17103,33,50.0,False
579,111351,494,20082,28,55.0,False
580,128235,355,46216,33,50.0,False
581,50257,438,26760,26,35.0,False
582,61029,631,46332,10,50.0,False
583,143325,836,47352,24,90.0,True
584,51299,344,12199,21,45.0,False
585,134842,352,28497,19,55.0,False
586,136269,507,1231,39,60.0,True
587,53206,805,16589,13,80.0,True
588,145528,584,41616,40,65.0,True
589,84040,337,10527,2,40.0,False
590,33248,465,45046,18,25.0,False
591,53509,668,3348,5,60.0,True
592,126542,366,20191,30,55.0,False
593,73540,359,8163,36,45.0,False
594,132548,737,40901,20,75.0,True
595,83964,832,48787,40,80.0,True
596,135150,776,41990,7,80.0,True
597,117806,658,37727,40,65.0,True
598,143254,607,34206,35,70.0,True
599,126345,329,12510,12,60.0,True
600,136266,793,11183,40,95.0,True
601,62527,357,35149,19,35.0,False
602,64970,662,5339,9,60.0,True
603,50866,491,40006,7,30.0,False
604,133202,723,6688,31,85.0,True
605,121917,479,8355,23,60.0,True
606,44168,812,11097,12,70.0,True
607,80140,400,34826,8,35.0,False
608,144316,389,22842,29,55.0,False
609,35075,514,22029,12,25.0,False
610,142537,452,11321,17,60.0,True
611,91694,626,18763,9,60.0,True
612,59154,646,36427,28,50.0,False
613,56158,736,26684,11,60.0,True
614,137031,640,13985,34,70.0,True
615,90332,779,7374,29,90.0,True
616,75830,447,41431,16,40.0,False
617,70001,764,32949,1,55.0,False
618,137549,430,34288,6,50.0,False
619,134247,710,39701,26,75.0,True
620,144206,513,46485,37,50.0,False
621,59831,477,44424,4,25.0,False
622,59219,399,30177,11,35.0,False
623,33101,392,15261,8,20.0,False
624,116511,763,35816,18,85.0,True
625,55313,745,48041,22,70.0,True
626,82227,678,36971,3,55.0,False
627,73025,540,29292,37,35.0,False
628,66517,477,32121,8,30.0,False
629,143292,437,1760,4,50.0,False
630,39099,386,9992,26,30.0,False
631,131361,821,28795,35,95.0,True
632,66585,810,48901,15,75.0,True
633,76025,794,47195,23,75.0,True
634,114080,586,31470,33,65.0,True
635,96768,619,41176,3,45.0,False
636,82386,639,28591,22,60.0,True
637,119065,473,38542,3,40.0,False
638,140580,817,6037,17,100.0,True
639,100282,478,39782,9,45.0,False
640,73404,840,3168,21,90.0,True
641,33617,692,16594,28,50.0,False
642,45118,418,4442,10,40.0,False
643,144955,699,32102,16,80.0,True
644,64237,842,45752,2,65.0,True
645,53405,643,18716,17,55.0,False
646,106099,499,35075,21,50.0,False
647,64795,312,27951,6,30.0,False
648,35014,324,41592,5,20.0,False
649,44208,422,6661,38,35.0,False
650,108193,559,20304,29,55.0,False
651,86959,563,11614,4,40.0,False
652,75309,482,29873,4,35.0,False
653,125491,741,15312,39,90.0,True
654,133078,556,30221,1,40.0,False
655,71114,637,26646,36,55.0,False
656,87199,531,1216,24,55.0,False
657,109457,710,4617,40,85.0,True
658,97033,596,43453,12,55.0,False
659,45157,409,42328,22,25.0,False
660,80488,544,33062,24,40.0,False
661,147899,337,23235,3,45.0,False
662,105574,835,31039,34,90.0,True
663,54914,782,41525,2,60.0,True
664,63386,767,41057,10,70.0,True
665,35817,364,14280,27,30.0,False
666,122901,440,22075,13,55.0,False
667,87154,472,46632,23,40.0,False
668,30221,461,2024,31,40.0,False
669,98146,429,14510,9,45.0,False
670,135710,484,48002,31,50.0,False
671,100575,541,13576,7,50.0,False
672,120027,513,19115,3,45.0,False
673,124297,344,4540,23,60.0,True
674,127248,850,12526,10,100.0,True
675,126605,633,28463,12,70.0,True
676,117900,722,14104,24,80.0,True
677,55825,482,26384,23,35.0,False
678,77739,332,46364,36,40.0,False
679,86531,525,20343,38,50.0,False
680,39171,535,6667,26,35.0,False
681,117062,314,48842,27,45.0,False
682,73279,305,28379,2,30.0,False
683,111678,400,30651,31,50.0,False
684,71145,667,20384,15,55.0,False
685,116951,324,30808,29,50.0,False
686,141151,372,26223,21,55.0,False
687,46334,643,49218,3,30.0,False
688,124339,341,24958,23,55.0,False
689,147970,544,36365,7,50.0,False
690,69363,530,22001,22,40.0,False
691,96469,797,33863,33,80.0,True
692,70538,367,13343,29,45.0,False
693,117410,451,33527,9,45.0,False
694,83528,435,32057,22,45.0,False
695,72753,537,35053,21,35.0,False
696,82743,755,31015,19,80.0,True
697,121384,595,4101,9,70.0,True
698,68752,486,12492,9,40.0,False
699,102667,488,14445,35,55.0,False
700,46683,466,35972,19,25.0,False
701,55144,459,1281,34,50.0,False
702,85108,450,38043,28,40.0,False
703,117153,756,24422,5,85.0,True
704,79695,584,13826,1,50.0,False
705,118777,625,40529,38,65.0,True
706,128059,678,26304,23,80.0,True
707,148332,520,48700,28,50.0,False
708,52810,734,48749,26,60.0,True
709,110676,837,22981,4,85.0,True
710,104593,724,12461,35,80.0,True
711,69446,596,37298,31,50.0,False
712,83225,529,2758,0,40.0,False
713,101819,727,12755,31,80.0,True
714,139278,670,39080,30,75.0,True
715,30053,682,34588,36,50.0,False
716,69829,438,24421,10,40.0,False
717,67606,842,42873,4,65.0,True
718,57549,630,21723,19,55.0,False
719,86346,440,34958,18,40.0,False
720,132990,815,15490,12,95.0,True
721,106019,419,9600,1,45.0,False
722,109516,650,12285,19,70.0,True
723,115813,428,14752,8,50.0,False
724,72237,343,13868,6,40.0,False
725,90946,344,5341,19,55.0,False
726,87905,489,44948,22,40.0,False
727,87954,660,11522,32,65.0,True
728,118555,841,15221,12,95.0,True
729,58010,816,47383,30,75.0,True
730,97000,734,15042,32,75.0,True
731,92021,807,24674,18,85.0,True
732,134036,754,15802,35,90.0,True
733,148119,483,1837,31,60.0,True
734,134336,404,49590,10,50.0,False
735,126463,811,19252,37,95.0,True
736,52241,796,34516,17,70.0,True
737,116356,330,7527,3,50.0,False
738,41114,634,11009,19,45.0,False
739,67196,600,44390,31,50.0,False
740,97561,421,26141,28,45.0,False
741,117012,468,33209,27,50.0,False
742,112960,781,32189,35,85.0,True
743,111167,661,19640,20,70.0,True
744,73933,327,41970,21,35.0,False
745,42240,553,16376,19,30.0,False
746,137272,320,36285,20,50.0,False
747,128453,322,21743,24,55.0,False
748,60784,644,33553,32,50.0,False
749,118184,506,33568,40,50.0,False
750,70687,604,38586,25,50.0,False
751,59444,843,32147,27,75.0,True
752,135717,743,44480,34,85.0,True
753,56100,484,2219,40,50.0,False
754,49313,778,18559,40,65.0,True
755,33201,834,14149,23,65.0,True
756,36057,626,5222,40,50.0,False
757,62092,541,27598,15,35.0,False
758,92277,746,28657,2,70.0,True
759,110120,343,48348,31,45.0,False
760,141376,716,24818,5,75.0,True
761,130727,812,8906,33,100.0,True
762,39545,543,40309,7,20.0,False
763,89692,733,15287,9,70.0,True
764,84321,357,33136,34,45.0,False
765,146147,584,10496,23,75.0,True
766,112544,545,17579,35,55.0,False
767,105454,697,1515,25,85.0,True
768,55485,464,29760,40,35.0,False
769,124155,782,49296,26,85.0,True
770,121272,818,5349,22,100.0,True
771,80328,353,43033,11,40.0,False
772,94799,621,38736,5,50.0,False
773,82383,720,21932,28,70.0,True
